S,Pc kpa
0.346534653,27.46810201
0.326149151,27.46810201
0.256173552,26.388998
0.297142857,26.388998
0.089079512,23.9364889
0.093788229,23.9364889
0.132093933,22.46498343
0.126796281,22.46498343
0.11741683,20.50297614
0.120724346,20.50297614
0.153948022,18.1485674
0.162188729,18.1485674
0.135240168,15.69605829
0.140816327,15.69605829
0.163533835,13.24354918
0.149168101,13.24354918
0.159820552,11.18344153
0.15625,11.18344153
0.204337695,8.829032789
0.213396562,8.829032789
0.343082115,7.848029146
0.307655617,7.848029146
0.445751432,6.768925138
0.401472064,6.768925138
0.432261465,5.689821131
0.422456921,5.689821131
0.591478697,3.924014573
0.606469003,3.924014573
0.644095789,2.550609472
0.644334975,2.550609472
0.744863014,1.079104008
0.756075608,1.079104008
